 338 (18,10) U+2593 '▓'
 339 (19,10) U+2594 '▔'
 340 (20,10) U+2595 '▕'
 341 (21,10) U+2596 '▖'
 342 (22,10) U+2597 '▗'
 343 (23,10) U+2598 '▘'
 344 (24,10) U+2599 '▙'
 345 (25,10) U+259A '▚'
 346 (26,10) U+259B '▛'
 347 (27,10) U+259C '▜'
 348 (28,10) U+259D '▝'
 349 (29,10) U+259E '▞'
 350 (30,10) U+259F '▟'
 351 (31,10) U+25A0 '■'
 352 ( 0,11) U+25A1 '□'
 353 ( 1,11) U+25A2 '▢'
 354 ( 2,11) U+25A3 '▣'
 355 ( 3,11) U+25A4 '▤'
 356 ( 4,11) U+25A5 '▥'
 357 ( 5,11) U+25A6 '▦'
 358 ( 6,11) U+25A7 '▧'
 359 ( 7,11) U+25A8 '▨'
 360 ( 8,11) U+25A9 '▩'
 361 ( 9,11) U+25AA '▪'
 362 (10,11) U+25AB '▫'
 363 (11,11) U+25AC '▬'
 364 (12,11) U+25AD '▭'
 365 (13,11) U+25AE '▮'
 366 (14,11) U+25AF '▯'
 367 (15,11) U+25B0 '▰'
 368 (16,11) U+25B1 '▱'
 369 (17,11) U+25B2 '▲'
 370 (18,11) U+25B3 '△'
 371 (19,11) U+25B4 '▴'
 372 (20,11) U+25B5 '▵'
 373 (21,11) U+25B6 '▶'
 374 (22,11) U+25B7 '▷'
 375 (23,11) U+25B8 '▸'
 376 (24,11) U+25B9 '▹'
 377 (25,11) U+25BA '►'
 378 (26,11) U+25BB '▻'
 379 (27,11) U+25BC '▼'
 380 (28,11) U+25BD '▽'
 381 (29,11) U+25BE '▾'
 382 (30,11) U+25BF '▿'
 383 (31,11) U+25C0 '◀'
 384 ( 0,12) U+25C1 '◁'
 385 ( 1,12) U+25C2 '◂'
 386 ( 2,12) U+25C3 '◃'
 387 ( 3,12) U+25C4 '◄'
 388 ( 4,12) U+25C5 '◅'
 389 ( 5,12) U+25C6 '◆'
 390 ( 6,12) U+25C7 '◇'
 391 ( 7,12) U+25C8 '◈'
 392 ( 8,12) U+25C9 '◉'
 393 ( 9,12) U+25CA '◊'
 394 (10,12) U+25CB '○'
 395 (11,12) U+25CC '◌'
 396 (12,12) U+25CD '◍'
 397 (13,12) U+25CE '◎'
 398 (14,12) U+25CF '●'
 399 (15,12) U+25D0 '◐'
 400 (16,12) U+25D1 '◑'
 401 (17,12) U+25D2 '◒'
 402 (18,12) U+25D3 '◓'
 403 (19,12) U+25D4 '◔'
 404 (20,12) U+25D5 '◕'
 405 (21,12) U+25D6 '◖'
 406 (22,12) U+25D7 '◗'
 407 (23,12) U+25D8 '◘'
 408 (24,12) U+25D9 '◙'
 409 (25,12) U+25DA '◚'
 410 (26,12) U+25DB '◛'
 411 (27,12) U+25DC '◜'
 412 (28,12) U+25DD '◝'
 413 (29,12) U+25DE '◞'
 414 (30,12) U+25DF '◟'
 415 (31,12) U+25E0 '◠'
 416 ( 0,13) U+25E1 '◡'
 417 ( 1,13) U+25E2 '◢'
 418 ( 2,13) U+25E3 '◣'
 419 ( 3,13) U+25E4 '◤'
 420 ( 4,13) U+25E5 '◥'
 421 ( 5,13) U+25E6 '◦'
 422 ( 6,13) U+25E7 '◧'
 423 ( 7,13) U+25E8 '◨'
 424 ( 8,13) U+25E9 '◩'
 425 ( 9,13) U+25EA '◪'
 426 (10,13) U+25EB '◫'
 427 (11,13) U+25EC '◬'
 428 (12,13) U+25ED '◭'
 429 (13,13) U+25EE '◮'
 430 (14,13) U+25EF '◯'
 431 (15,13) U+25F0 '◰'
 432 (16,13) U+25F1 '◱'
 433 (17,13) U+25F2 '◲'
 434 (18,13) U+25F3 '◳'
 435 (19,13) U+25F4 '◴'
 436 (20,13) U+25F5 '◵'
 437 (21,13) U+25F6 '◶'
 438 (22,13) U+25F7 '◷'
 439 (23,13) U+25F8 '◸'
 440 (24,13) U+25F9 '◹'
 441 (25,13) U+25FA '◺'
 442 (26,13) U+25FB '◻'
 443 (27,13) U+25FC '◼'
 444 (28,13) U+25FD '◽'
 445 (29,13) U+25FE '◾'
 446 (30,13) U+25FF '◿'
 447 (31,13) U+2600 '☀'
 448 ( 0,14) U+2601 '☁'
 449 ( 1,14) U+2602 '☂'
 450 ( 2,14) U+2603 '☃'
 451 ( 3,14) U+2604 '☄'
 452 ( 4,14) U+2605 '★'
 453 ( 5,14) U+2606 '☆'
 454 ( 6,14) U+2607 '☇'
 455 ( 7,14) U+2608 '☈'
 456 ( 8,14) U+2609 '☉'
 457 ( 9,14) U+260A '☊'
 458 (10,14) U+260B '☋'
 459 (11,14) U+260C '☌'
 460 (12,14) U+260D '☍'
 461 (13,14) U+260E '☎'
 462 (14,14) U+260F '☏'
 463 (15,14) U+2610 '☐'
 464 (16,14) U+2611 '☑'
 465 (17,14) U+2612 '☒'
 466 (18,14) U+2613 '☓'
 467 (19,14) U+2614 '☔'
 468 (20,14) U+2615 '☕'
 469 (21,14) U+2616 '☖'
 470 (22,14) U+2617 '☗'
 471 (23,14) U+2618 '☘'
 472 (24,14) U+2619 '☙'
 473 (25,14) U+261A '☚'
 474 (26,14) U+261B '☛'
 475 (27,14) U+261C '☜'
 476 (28,14) U+261D '☝'
 477 (29,14) U+261E '☞'
 478 (30,14) U+261F '☟'
 479 (31,14) U+2620 '☠'
 480 ( 0,15) U+2621 '☡'
 481 ( 1,15) U+2622 '☢'
 482 ( 2,15) U+2623 '☣'
 483 ( 3,15) U+2624 '☤'
 484 ( 4,15) U+2625 '☥'
 485 ( 5,15) U+2626 '☦'
 486 ( 6,15) U+2627 '☧'
 487 ( 7,15) U+2628 '☨'
 488 ( 8,15) U+2629 '☩'
 489 ( 9,15) U+262A '☪'
 490 (10,15) U+262B '☫'
 491 (11,15) U+262C '☬'
 492 (12,15) U+262D '☭'
 493 (13,15) U+262E '☮'
 494 (14,15) U+262F '☯'
 495 (15,15) U+2630 '☰'
 496 (16,15) U+2631 '☱'
 497 (17,15) U+2632 '☲'
 498 (18,15) U+2633 '☳'
 499 (19,15) U+2634 '☴'
 500 (20,15) U+2635 '☵'
 501 (21,15) U+2636 '☶'
 502 (22,15) U+2637 '☷'
 503 (23,15) U+2638 '☸'
 504 (24,15) U+2639 '☹'
 505 (25,15) U+263A '☺'
 506 (26,15) U+263B '☻'
 507 (27,15) U+263C '☼'
 508 (28,15) U+263D '☽'
 509 (29,15) U+263E '☾'
 510 (30,15) U+263F '☿'
 511 (31,15) U+2640 '♀'
 512 ( 0,16) U+2641 '♁'
 513 ( 1,16) U+2642 '♂'
 514 ( 2,16) U+2643 '♃'
 515 ( 3,16) U+2644 '♄'
 516 ( 4,16) U+2645 '♅'
 517 ( 5,16) U+2646 '♆'
 518 ( 6,16) U+2647 '♇'
 519 ( 7,16) U+2648 '♈'
 520 ( 8,16) U+2649 '♉'
 521 ( 9,16) U+264A '♊'
 522 (10,16) U+264B '♋'
 523 (11,16) U+264C '♌'
 524 (12,16) U+264D '♍'
 525 (13,16) U+264E '♎'
 526 (14,16) U+264F '♏'
 527 (15,16) U+2650 '♐'
 528 (16,16) U+2651 '♑'
 529 (17,16) U+2652 '♒'
 530 (18,16) U+2653 '♓'
 531 (19,16) U+2654 '♔'
 532 (20,16) U+2655 '♕'
 533 (21,16) U+2656 '♖'
 534 (22,16) U+2657 '♗'
 535 (23,16) U+2658 '♘'
 536 (24,16) U+2659 '♙'
 537 (25,16) U+265A '♚'
 538 (26,16) U+265B '♛'
 539 (27,16) U+265C '♜'
 540 (28,16) U+265D '♝'
 541 (29,16) U+265E '♞'
 542 (30,16) U+265F '♟'
 543 (31,16) U+2660 '♠'
 544 ( 0,17) U+2661 '♡'
 545 ( 1,17) U+2662 '♢'
 546 ( 2,17) U+2663 '♣'
 547 ( 3,17) U+2664 '♤'
 548 ( 4,17) U+2665 '♥'
 549 ( 5,17) U+2666 '♦'
 550 ( 6,17) U+2667 '♧'
 551 ( 7,17) U+2668 '♨'
 552 ( 8,17) U+2669 '♩'
 553 ( 9,17) U+266A '♪'
 554 (10,17) U+266B '♫'
 555 (11,17) U+266C '♬'
 556 (12,17) U+266D '♭'
 557 (13,17) U+266E '♮'
 558 (14,17) U+266F '♯'
 559 (15,17) U+2670 '♰'
 560 (16,17) U+2671 '♱'
 561 (17,17) U+2672 '♲'
 562 (18,17) U+2673 '♳'
 563 (19,17) U+2674 '♴'
 564 (20,17) U+2675 '♵'
 565 (21,17) U+2676 '♶'
 566 (22,17) U+2677 '♷'
 567 (23,17) U+2678 '♸'
 568 (24,17) U+2679 '♹'
 569 (25,17) U+267A '♺'
 570 (26,17) U+267B '♻'
 571 (27,17) U+267C '♼'
 572 (28,17) U+267D '♽'
 573 (29,17) U+267E '♾'
 574 (30,17) U+267F '♿'
 575 (31,17) U+2680 '⚀'
 576 ( 0,18) U+2681 '⚁'
 577 ( 1,18) U+2682 '⚂'
 578 ( 2,18) U+2683 '⚃'
 579 ( 3,18) U+2684 '⚄'
 580 ( 4,18) U+2685 '⚅'
 581 ( 5,18) U+2686 '⚆'
 582 ( 6,18) U+2687 '⚇'
 583 ( 7,18) U+2688 '⚈'
 584 ( 8,18) U+2689 '⚉'
 585 ( 9,18) U+268A '⚊'
 586 (10,18) U+268B '⚋'
 587 (11,18) U+268C '⚌'
 588 (12,18) U+268D '⚍'
 589 (13,18) U+268E '⚎'
 590 (14,18) U+268F '⚏'
 591 (15,18) U+2690 '⚐'
 592 (16,18) U+2691 '⚑'
 593 (17,18) U+2692 '⚒'
 594 (18,18) U+2693 '⚓'
 595 (19,18) U+2694 '⚔'
 596 (20,18) U+2695 '⚕'
 597 (21,18) U+2696 '⚖'
 598 (22,18) U+2697 '⚗'
 599 (23,18) U+2698 '⚘'
 600 (24,18) U+2699 '⚙'
 601 (25,18) U+269A '⚚'
 602 (26,18) U+269B '⚛'
 603 (27,18) U+269C '⚜'
